gRNA	XR029	XR030	XR031	XR032	XR033	XR034	XR035	XR036	XR037	XR038	XR039	group
SIN3A@13587	1294	3490	196	25	44	2479	5410	1943	2289	13821	773	test
SIN3A@13588	3104	2921	202	69	115	1095	2258	2380	1559	8072	1167	test
SIN3A@13589	1919	3064	286	97	69	3245	6792	1332	1333	5292	1538	test
SIN3A@13590	1874	2553	605	611	625	1446	2733	656	1620	577	518	test
SIN3A@13591	3815	3074	1002	1044	1275	2747	3084	255	586	3974	917	test
SIN3A@13592	222	1472	170	12	46	825	1190	121	219	3237	1477	test
SIN3A@13593	1555	3895	376	191	110	1321	2707	769	389	5504	994	test
SIN3A@13594	2281	1647	648	354	435	1849	4803	1383	1190	2537	642	test
SIN3A@13595	1207	3341	189	28	25	2248	6810	520	908	1753	496	test
SIN3A@13596	1324	4363	584	54	21	850	3882	1276	986	1138	1057	test
SIN3A@13597	4988	4390	1296	1382	1614	4334	4842	308	1063	4976	2048	test
SIN3A@13598	2656	3211	186	98	92	2327	2360	1352	1913	2184	1290	test
SIN3A@13599	506	375	56	23	1	0	775	16	225	3242	86	test
SIN3A@13600	5344	1966	1754	2309	2500	7180	7594	2651	834	7163	1351	test
SIN3A@13601	2091	2565	844	605	668	3123	1337	750	761	5216	1093	test
SIN3A@13602	1263	2399	132	27	1	1624	574	868	888	4082	422	test
SIN3A@13603	1486	2569	501	527	528	2011	3788	237	174	3303	526	test
SIN3A@13604	5211	2652	1540	1330	1729	5857	3766	293	378	468	1092	test
SIN3A@13605	2754	1707	457	70	49	2586	4413	1287	634	3400	1790	test
SIN3A@13606	8651	5600	2358	2855	3333	7392	7217	2045	1891	9178	1444	test
SIN3A@13607	4669	2842	1609	1429	1546	3142	4843	971	1252	7583	457	test
SIN3A@13608	751	2022	41	24	28	204	1411	108	77	4075	214	test
SIN3A@13609	1380	1171	509	585	595	1197	927	59	976	686	846	test
SIN3A@13610	1262	1022	361	69	114	1041	4372	349	428	2625	1698	test
SIN3A@13611	6595	4377	1499	1720	2000	5254	7773	1680	2778	10543	1372	test
SIN3A@13612	2672	4939	391	57	120	3379	6640	3670	814	7898	3271	test
SIN3A@13613	851	2055	73	14	54	222	1786	296	939	633	923	test
SIN3A@13614	1632	1572	106	29	5	878	1547	258	348	13930	624	test
SIN3A@13615	1300	3023	367	388	445	2777	2364	51	132	231	368	test
SIN3A@13616	1688	994	450	528	633	2008	1630	234	244	7165	96	test
SIN3A@13617	5570	2856	2027	2220	2612	7247	3148	1259	662	6795	743	test
SIN3A@13618	8731	8863	3051	3353	3892	7353	5567	2968	2528	20701	3756	test
SIN3A@13619	5776	1761	1364	2000	2370	5148	4897	500	1644	5069	1430	test
SIN3A@13620	3534	4366	1202	1292	1740	4351	3557	577	562	5206	636	test
SIN3A@13621	7540	5266	1591	1815	1843	5435	10356	342	1028	14346	1255	test
SIN3A@13622	9258	4992	2613	3076	3572	8078	7163	1534	1041	3207	2094	test
SIN3A@13623	8892	8512	2148	1393	1801	10805	16920	3578	3397	29205	2825	test
SIN3A@13624	4488	3978	449	62	75	788	4158	1798	1831	24377	468	test
SIN3A@13625	4164	3825	1011	1108	1181	5052	8907	497	1678	3677	1603	test
SIN3A@13626	1364	846	253	298	356	780	736	400	84	1364	424	test
SIN3A@13627	5696	7007	791	543	535	6956	9578	2726	1471	9944	3805	test
SIN3A@13628	6290	1853	1499	1820	2320	4319	1812	169	297	6567	577	test
SIN3A@13629	4475	3119	1429	1163	1346	3425	4534	960	1737	4107	565	test
SIN3A@13630	3621	1442	700	826	954	3149	6676	92	708	9459	942	test
SIN3A@13631	9940	9072	2965	3238	3789	9783	7685	2273	2848	24051	3628	test
SIN3A@13632	0	0	0	0	0	0	0	0	0	0	0	test
SIN3A@13633	1040	1548	51	24	0	165	2443	216	506	137	484	test
SIN3A@13634	2921	1250	1168	1100	1278	3157	3692	749	787	5901	1031	test
SIN3A@13635	412	2942	163	43	30	2022	1317	570	455	3491	353	test
SIN3A@13636	1490	1535	250	269	315	1455	944	215	216	2189	1400	test
SIN3A@13637	2445	4487	1168	1028	1227	2618	741	304	354	323	728	test
SIN3A@13638	1668	1439	632	710	788	2140	568	201	816	515	48	test
SIN3A@13639	3982	3868	326	120	68	1173	5633	911	3202	1820	1733	test
