oligo	XR043	XR044	XR045	XR046	XR050	XR051	XR052	XR054	group
SIN3A@03904	548	477	12	206	432	264	425	593	test
SIN3A@03905	193	215	914	623	146	153	77	197	test
SIN3A@03906	169	55	64	108	28	20	75	1	test
SIN3A@03907	2	0	0	0	0	0	0	0	test
SIN3A@03908	302	399	1094	782	246	149	45	718	test
SIN3A@03909	2404	1673	1140	1245	2570	1009	2096	1476	test
SIN3A@03910	116	62	10	111	399	199	269	486	test
SIN3A@03911	1292	614	1174	950	582	226	148	336	test
SIN3A@03912	523	166	98	113	354	178	1936	913	test
SIN3A@03913	1153	1020	93	483	381	238	639	213	test
SIN3A@03914	435	738	46	377	97	74	84	3	test
SIN3A@03915	1484	1206	1600	1441	1729	937	963	774	test
SIN3A@03916	874	787	2256	1718	750	467	288	867	test
SIN3A@03917	32	0	0	0	189	57	70	101	test
SIN3A@03918	136	74	612	289	56	18	0	0	test
SIN3A@03919	0	29	2	4	21	1	1	0	test
SIN3A@03920	1	54	15	2	334	155	69	124	test
SIN3A@03921	54	37	0	0	250	105	178	184	test
SIN3A@03922	1270	1040	138	705	1184	530	1430	1579	test
SIN3A@03923	68	1	4	0	408	115	3219	4487	test
SIN3A@03924	527	718	1360	1021	588	260	147	320	test
SIN3A@03925	168	82	0	139	77	62	248	56	test
SIN3A@03926	153	92	25	37	361	100	0	0	test
SIN3A@03927	0	0	0	0	126	44	52	114	test
SIN3A@03928	228	120	78	75	374	169	289	292	test
SIN3A@03929	164	215	9	80	238	148	62	331	test
SIN3A@03930	312	374	662	596	421	181	220	257	test
SIN3A@03931	708	512	133	307	120	141	1	1	test
SIN3A@03932	441	210	79	208	774	412	572	734	test
SIN3A@03933	0	0	0	0	1	1	0	4	test
SIN3A@03934	272	435	26	206	234	82	354	167	test
SIN3A@03935	525	257	70	83	593	240	1360	3229	test
SIN3A@03936	373	387	911	649	215	203	72	123	test
SIN3A@03937	438	364	19	286	594	235	650	555	test
SIN3A@03938	220	87	3	40	497	271	74	300	test
SIN3A@03939	133	121	12	29	481	233	365	145	test
SIN3A@03940	419	125	115	205	281	159	106	212	test
SIN3A@03941	455	525	78	332	124	75	26	151	test
SIN3A@03942	499	278	105	46	453	359	277	609	test
SIN3A@03943	500	660	30	398	470	279	245	479	test
SIN3A@03944	25	48	0	1	241	110	93	179	test
SIN3A@03945	1012	841	2414	1700	1050	481	1070	1113	test
SIN3A@03946	1053	927	753	733	732	297	945	972	test
SIN3A@03947	61	113	914	554	97	89	29	170	test
SIN3A@03948	434	255	87	33	350	137	1822	138	test
SIN3A@03949	920	906	4813	3304	491	228	1344	1416	test
SIN3A@03950	1475	1370	2417	2159	712	342	288	381	test
SIN3A@03951	191	136	882	515	31	16	0	0	test
SIN3A@03952	150	108	3	49	223	96	52	96	test
SIN3A@03953	328	397	25	311	21	13	3	9	test
SIN3A@03954	393	343	1095	610	419	175	207	152	test
SIN3A@03955	2	3	4	2	0	0	0	1	test
SIN3A@03956	402	635	19	384	54	40	0	104	test
SIN3A@03957	420	185	133	113	370	147	1657	234	test
SIN3A@03958	120	74	17	24	344	218	142	403	test
SIN3A@03959	277	233	49	2	848	328	1086	470	test
SIN3A@03960	545	257	1185	649	534	255	992	273	test
SIN3A@03961	294	450	19	234	58	54	4	11	test
SIN3A@03962	229	102	890	516	218	49	4	106	test
SIN3A@03963	60	2	10	0	190	92	167	110	test
SIN3A@03964	15	1	1	0	100	27	2	1	test
SIN3A@03965	136	59	29	124	487	187	237	283	test
SIN3A@03966	41	82	44	0	179	106	0	0	test
SIN3A@03967	2	18	22	4	48	21	65	191	test
SIN3A@03968	339	193	1192	659	405	170	41	58	test
SIN3A@03969	560	527	574	579	395	184	393	253	test
SIN3A@03970	0	0	1	3	1	0	1	0	test
SIN3A@03971	283	301	0	0	279	136	183	215	test
SIN3A@03972	219	89	247	446	566	137	148	327	test
SIN3A@03973	52	90	731	425	466	236	210	260	test
SIN3A@03974	0	0	0	0	1	0	1	0	test
SIN3A@03975	134	122	834	505	332	115	241	28	test
SIN3A@03976	866	667	1190	806	505	384	239	140	test
SIN3A@03977	0	7	0	0	77	62	62	4	test
SIN3A@03978	835	785	157	504	1370	605	547	1001	test
SIN3A@03979	142	235	3	92	231	117	118	241	test
SIN3A@03980	95	38	397	281	448	202	479	572	test
SIN3A@03981	153	0	101	0	45	22	0	0	test
SIN3A@03982	1416	1123	322	598	1848	1009	1351	1007	test
SIN3A@03983	0	0	6	1	67	47	995	0	test
SIN3A@03984	1165	1167	917	1200	797	292	1012	313	test
SIN3A@03985	65	0	11	0	27	35	7	3	test
SIN3A@03986	333	416	9	274	454	181	621	266	test
SIN3A@03987	65	69	3	44	149	23	239	0	test
SIN3A@03988	94	93	1	25	330	145	154	238	test
SIN3A@03989	696	322	846	498	575	314	576	315	test
SIN3A@03990	795	631	1299	1084	636	247	170	113	test
SIN3A@03991	501	745	2342	1489	288	175	239	274	test
SIN3A@03992	320	271	0	0	223	55	0	1	test
SIN3A@03993	226	86	146	51	421	135	115	316	test
SIN3A@03994	249	357	13	301	1	3	6	4	test
SIN3A@03995	71	66	3	266	199	167	140	90	test
SIN3A@03996	557	219	19	352	298	198	2025	96	test
SIN3A@03997	163	128	463	274	45	72	0	0	test
SIN3A@03998	73	46	3	0	437	178	190	400	test
SIN3A@03999	140	20	0	136	216	153	36	174	test
SIN3A@04000	427	415	1062	678	410	177	623	868	test
SIN3A@04001	983	699	1652	1359	702	352	1289	714	test
SIN3A@04002	338	352	15	215	0	28	0	0	test
SIN3A@04003	182	212	33	1	916	375	206	351	test
SIN3A@04004	164	79	0	0	109	85	0	149	test
SIN3A@04005	72	94	19	47	26	20	2	2	test
SIN3A@04006	99	61	27	0	165	91	44	109	test
SIN3A@04007	190	226	548	295	316	169	309	162	test
SIN3A@04008	302	173	93	42	138	52	0	37	test
SIN3A@04009	447	650	1479	930	552	281	1200	132	test
SIN3A@04010	715	855	19	586	1432	602	810	828	test
SIN3A@04011	231	92	60	38	416	135	653	334	test
SIN3A@04012	165	260	2007	1474	436	245	109	403	test
SIN3A@04013	189	180	739	467	625	345	248	537	test
SIN3A@04014	686	843	1059	949	99	57	6	6	test
SIN3A@04015	22	0	0	0	48	40	153	22	test
SIN3A@04016	864	660	50	274	735	324	227	444	test
SIN3A@04017	309	71	98	33	255	75	327	158	test
SIN3A@04018	0	2	0	0	1	1	1	0	test
SIN3A@04019	584	495	2448	1477	246	159	330	201	test
SIN3A@04020	355	543	30	448	625	279	1054	522	test
SIN3A@04021	501	137	91	50	170	106	342	103	test
SIN3A@04022	518	426	794	725	699	294	246	557	test
SIN3A@04023	203	136	0	33	948	470	896	869	test
SIN3A@04024	1926	1581	2180	1822	1013	521	784	653	test
SIN3A@04025	253	367	816	694	188	62	0	138	test
SIN3A@04026	389	172	673	69	1673	579	6782	1181	test
SIN3A@04027	137	148	919	624	100	101	73	200	test
SIN3A@04028	614	332	807	525	396	237	178	124	test
SIN3A@04029	1101	871	1079	1161	363	205	669	688	test
SIN3A@04030	104	114	1001	610	365	146	317	128	test
SIN3A@04031	469	580	28	395	363	178	362	144	test
SIN3A@04032	226	137	0	0	616	308	251	516	test
SIN3A@04033	582	244	139	50	112	79	1239	6	test
SIN3A@04034	303	451	17	195	397	162	1181	206	test
SIN3A@04035	239	113	0	18	341	80	2706	974	test
SIN3A@04036	359	495	1029	805	25	15	0	0	test
SIN3A@04037	223	315	12	183	154	140	43	1	test
SIN3A@04038	414	281	107	973	440	101	228	546	test
